2025-08-16 18:44:05 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 18:44:05 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 18:52:04 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 18:52:05 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 18:53:14 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 18:53:14 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 18:53:57 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 18:53:57 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 18:55:33 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 18:55:34 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:02:06 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:02:06 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:02:44 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:02:44 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:21:43 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:21:43 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:22:51 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:22:51 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:23:06 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:24:19 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:24:19 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:25:04 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:25:04 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:25:39 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:25:39 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:26:11 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:26:11 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:27:08 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:27:08 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:29:24 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:29:24 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:37:47 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:37:47 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:42:51 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:42:51 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:43:08 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 19:43:08 | WARNING  | rexus.modules.herrajes.inventario_integration | Sin conexión a BD - funciones limitadas
2025-08-16 22:04:21 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-16 22:04:21 | WARNING  | rexus.modules.inventario.submodules.reservas_manager | Utilidades base no disponibles en ReservasManager
2025-08-16 22:04:21 | WARNING  | rexus.modules.inventario.submodules.reportes_manager | Utilidades base no disponibles en ReportesManager
2025-08-16 22:04:21 | WARNING  | rexus.modules.inventario.submodules.categorias_manager | Utilidades base no disponibles en CategoriasManager
2025-08-16 22:04:21 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-16 22:04:21 | WARNING  | rexus.modules.inventario.submodules.reservas_manager | Utilidades base no disponibles en ReservasManager
2025-08-16 22:04:21 | WARNING  | rexus.modules.inventario.submodules.reportes_manager | Utilidades base no disponibles en ReportesManager
2025-08-16 22:04:21 | WARNING  | rexus.modules.inventario.submodules.categorias_manager | Utilidades base no disponibles en CategoriasManager
2025-08-16 22:04:21 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-16 22:04:21 | WARNING  | rexus.modules.inventario.submodules.reservas_manager | Utilidades base no disponibles en ReservasManager
2025-08-16 22:04:21 | WARNING  | rexus.modules.inventario.submodules.reportes_manager | Utilidades base no disponibles en ReportesManager
2025-08-16 22:04:21 | WARNING  | rexus.modules.inventario.submodules.categorias_manager | Utilidades base no disponibles en CategoriasManager
2025-08-16 22:04:24 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-16 22:04:24 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-16 22:04:24 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-16 22:04:24 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-16 22:04:25 | ERROR    | rexus.modules.vidrios.model | Error verificando tablas: 'Mock' object is not iterable
2025-08-16 22:04:25 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-16 22:04:25 | WARNING  | rexus.modules.inventario.submodules.reservas_manager | Utilidades base no disponibles en ReservasManager
2025-08-16 22:04:25 | WARNING  | rexus.modules.inventario.submodules.reportes_manager | Utilidades base no disponibles en ReportesManager
2025-08-16 22:04:25 | WARNING  | rexus.modules.inventario.submodules.categorias_manager | Utilidades base no disponibles en CategoriasManager
2025-08-16 22:04:25 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-16 22:04:25 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-16 22:04:25 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-16 22:04:25 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-17 15:07:20 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-17 15:07:20 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-17 15:07:20 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-17 15:07:20 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-17 15:07:22 | ERROR    | rexus.modules.vidrios.model | Error verificando tablas: 'NoneType' object has no attribute 'cursor'
2025-08-17 15:07:26 | INFO     | rexus.modules.compras.model | [COMPRAS] Tabla 'compras' verificada correctamente.
2025-08-17 15:07:26 | INFO     | rexus.modules.compras.model | [COMPRAS] Tabla 'detalle_compras' verificada correctamente.
2025-08-17 15:57:13 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-17 15:57:13 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-17 15:57:13 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-17 15:57:13 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-18 07:57:35 | WARNING  | rexus.modules.usuarios.submodules.auth_manager | Security utilities not fully available
2025-08-18 07:58:13 | INFO     | rexus.modules.administracion.contabilidad.model | SQLQueryManager inicializado correctamente
2025-08-18 07:58:13 | INFO     | rexus.modules.administracion.contabilidad.model | Tabla 'libro_contable' verificada correctamente
2025-08-18 07:58:13 | INFO     | rexus.modules.administracion.contabilidad.model | Tabla 'recibos' verificada correctamente
2025-08-18 07:58:13 | INFO     | rexus.modules.administracion.contabilidad.model | Tabla 'pagos_obra' verificada correctamente
2025-08-18 07:58:13 | INFO     | rexus.modules.administracion.contabilidad.model | Tabla 'pagos_materiales' verificada correctamente
2025-08-18 07:58:13 | INFO     | rexus.modules.administracion.contabilidad.model | Tabla 'departamentos' verificada correctamente
2025-08-18 08:25:15 | ERROR    | rexus.modules.herrajes.model | [HERRAJES] Error obteniendo herrajes: ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'herrajes'. (208) (SQLExecDirectW)")
2025-08-18 12:32:20 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-18 12:32:20 | WARNING  | rexus.modules.inventario.submodules.reservas_manager | Utilidades base no disponibles en ReservasManager
2025-08-18 12:32:20 | WARNING  | rexus.modules.inventario.submodules.reportes_manager | Utilidades base no disponibles en ReportesManager
2025-08-18 12:32:20 | WARNING  | rexus.modules.inventario.submodules.categorias_manager | Utilidades base no disponibles en CategoriasManager
2025-08-18 12:33:22 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-18 12:33:22 | WARNING  | rexus.modules.inventario.submodules.reservas_manager | Utilidades base no disponibles en ReservasManager
2025-08-18 12:33:22 | WARNING  | rexus.modules.inventario.submodules.reportes_manager | Utilidades base no disponibles en ReportesManager
2025-08-18 12:33:22 | WARNING  | rexus.modules.inventario.submodules.categorias_manager | Utilidades base no disponibles en CategoriasManager
2025-08-18 12:34:07 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-18 12:34:07 | WARNING  | rexus.modules.inventario.submodules.reservas_manager | Utilidades base no disponibles en ReservasManager
2025-08-18 12:34:07 | WARNING  | rexus.modules.inventario.submodules.reportes_manager | Utilidades base no disponibles en ReportesManager
2025-08-18 12:34:07 | WARNING  | rexus.modules.inventario.submodules.categorias_manager | Utilidades base no disponibles en CategoriasManager
2025-08-18 12:34:23 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-18 12:34:23 | WARNING  | rexus.modules.inventario.submodules.reservas_manager | Utilidades base no disponibles en ReservasManager
2025-08-18 12:34:23 | WARNING  | rexus.modules.inventario.submodules.reportes_manager | Utilidades base no disponibles en ReportesManager
2025-08-18 12:34:23 | WARNING  | rexus.modules.inventario.submodules.categorias_manager | Utilidades base no disponibles en CategoriasManager
2025-08-18 12:34:26 | INFO     | rexus.modules.mantenimiento.controller | Verificación completada: 0 vencidos, 0 próximos
2025-08-18 12:34:26 | INFO     | rexus.modules.mantenimiento.controller | Datos iniciales de mantenimiento cargados exitosamente
2025-08-18 12:35:53 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-18 12:35:53 | WARNING  | rexus.modules.inventario.submodules.reservas_manager | Utilidades base no disponibles en ReservasManager
2025-08-18 12:35:53 | WARNING  | rexus.modules.inventario.submodules.reportes_manager | Utilidades base no disponibles en ReportesManager
2025-08-18 12:35:53 | WARNING  | rexus.modules.inventario.submodules.categorias_manager | Utilidades base no disponibles en CategoriasManager
2025-08-18 12:35:55 | INFO     | rexus.modules.mantenimiento.controller | Verificación completada: 0 vencidos, 0 próximos
2025-08-18 12:35:55 | INFO     | rexus.modules.mantenimiento.controller | Datos iniciales de mantenimiento cargados exitosamente
2025-08-18 12:36:37 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-18 12:36:37 | WARNING  | rexus.modules.inventario.submodules.reservas_manager | Utilidades base no disponibles en ReservasManager
2025-08-18 12:36:37 | WARNING  | rexus.modules.inventario.submodules.reportes_manager | Utilidades base no disponibles en ReportesManager
2025-08-18 12:36:37 | WARNING  | rexus.modules.inventario.submodules.categorias_manager | Utilidades base no disponibles en CategoriasManager
2025-08-18 12:36:40 | INFO     | rexus.modules.mantenimiento.controller | Verificación completada: 0 vencidos, 0 próximos
2025-08-18 12:36:40 | INFO     | rexus.modules.mantenimiento.controller | Datos iniciales de mantenimiento cargados exitosamente
2025-08-18 12:37:34 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-18 12:37:34 | WARNING  | rexus.modules.inventario.submodules.reservas_manager | Utilidades base no disponibles en ReservasManager
2025-08-18 12:37:34 | WARNING  | rexus.modules.inventario.submodules.reportes_manager | Utilidades base no disponibles en ReportesManager
2025-08-18 12:37:34 | WARNING  | rexus.modules.inventario.submodules.categorias_manager | Utilidades base no disponibles en CategoriasManager
2025-08-18 13:46:27 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-18 13:46:27 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-18 13:46:27 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
2025-08-18 13:46:27 | INFO     | rexus.modules.inventario.submodules.base_utilities | Utilidades de seguridad cargadas en BaseUtilities
